Date,Close/Last,Volume,Open,High,Low
04/13/2021,$54.26,531023,$54.73,$54.7867,$53.34
04/12/2021,$54.51,390434,$53.36,$54.67,$53.29
04/09/2021,$53.36,539648,$53.48,$53.65,$52.53
04/08/2021,$52.98,739795,$53.36,$53.56,$51.71
04/07/2021,$53.01,370169,$52.82,$53.37,$52.32
04/06/2021,$52.98,762330,$54.5,$54.7,$52.31
04/05/2021,$54.41,1278724,$53,$54.75,$52.65
04/01/2021,$52.52,390648,$52.8,$52.97,$52.05
03/31/2021,$52.17,598513,$51.5,$52.7,$51.35
03/30/2021,$51.39,431338,$50.75,$51.5396,$50.51
03/29/2021,$50.83,520159,$52.32,$52.7967,$50.47
03/26/2021,$52.84,598376,$51.48,$52.93,$51
03/25/2021,$50.95,749579,$50.69,$51.15,$48.3
03/24/2021,$51.1,746956,$51.58,$52.34,$51.03
03/23/2021,$51.09,781114,$52.71,$53.05,$50.97
03/22/2021,$53.12,491604,$53.14,$53.64,$52.09
03/19/2021,$53.02,1063280,$51.67,$53.37,$51.01
03/18/2021,$51.67,664549,$53.52,$53.6,$51.355
03/17/2021,$53.43,653857,$51.35,$53.57,$51.25
03/16/2021,$51.57,704114,$51.15,$51.89,$50.53
03/15/2021,$50.9,440482,$50.2,$50.91,$49.42
03/12/2021,$49.98,405073,$50.62,$50.96,$49.76
03/11/2021,$50.62,580887,$50.97,$51.71,$50.36
03/10/2021,$50.69,744552,$49.69,$51.03,$49.5
03/09/2021,$48.95,815007,$47.89,$49.5,$47.5
03/08/2021,$47.32,572544,$48.22,$48.6,$47.25
03/05/2021,$47.91,676323,$46.77,$48.035,$44.6
03/04/2021,$46.06,984553,$47,$47.54,$44.84
03/03/2021,$47.86,626735,$48.53,$49.17,$47.85
03/02/2021,$48.44,616519,$49.32,$49.3317,$48.28
03/01/2021,$49.34,1393473,$48.89,$49.66,$48.51
02/26/2021,$47.5,731096,$48.24,$48.27,$46.935
02/25/2021,$47.48,974538,$48.65,$49.29,$47.39
02/24/2021,$49.38,814841,$47.51,$49.41,$47.49
02/23/2021,$47.36,1152782,$47.27,$47.9,$46.01
02/22/2021,$47.99,799626,$48.56,$48.895,$47.53
02/19/2021,$48.73,818773,$48.47,$49.445,$47.9
02/18/2021,$48.25,904272,$50.15,$50.18,$48.01
02/17/2021,$50.64,519443,$51.14,$51.5795,$49.75
02/16/2021,$51.58,479254,$53,$53.25,$51.58
02/12/2021,$52.59,443256,$52.09,$52.77,$51.71
02/11/2021,$52.25,523041,$52.41,$52.67,$50.46
